Wrist,,Palmar Arch,,Index finger,,,,Middle Finger,,,,Ring Finger,,,,Little Finger,,,Thumb,,,,
fe,rud,rad/mid,mid/uln,mcp,pip,dip,abd,mcp,pip,dip,abd,mcp,pip,dip,abd,mcp,pip,dip,mcp,ip,abd,rot,
18.751,20.287,24.419,7.9262,45.728,25.003,4.7969,4.3505,19.772,2.7855,-1.888,9.4423,2.5776,1.4172,-6.1135,16.018,5.0865,1.1058,-8.1913,9.2108,-12.965,33.403,73.458,
18.863,19.954,24.721,7.7423,46.222,25.455,5.0551,4.4672,20.228,2.6757,-1.8524,9.446,2.6024,1.4396,-6.0632,16.129,5.0171,1.3599,-8.4555,9.2706,-12.73,33.481,73.629,
18.89,19.61,24.947,7.6275,46.666,25.974,5.3752,4.5492,20.611,2.6568,-1.8419,9.4853,2.6549,1.4093,-5.9801,16.276,4.963,1.5995,-8.6476,9.3858,-12.611,33.576,73.793,
18.879,19.238,25.038,7.6364,47.078,26.573,5.7527,4.6079,20.941,2.7231,-1.8289,9.5719,2.7483,1.3198,-5.8686,16.422,4.9599,1.7955,-8.7688,9.6179,-12.718,33.665,73.958,
18.868,18.842,25.014,7.7403,47.477,27.235,6.1716,4.6406,21.254,2.8429,-1.7784,9.695,2.8592,1.2223,-5.7563,16.542,4.9999,1.9492,-8.8772,9.927,-12.997,33.724,74.138,
18.849,18.429,24.956,7.8566,47.881,27.919,6.6355,4.6494,21.597,2.9851,-1.683,9.8275,2.9629,1.1661,-5.6694,16.642,5.05,2.0824,-9.0149,10.24,-13.351,33.753,74.323,
18.791,17.998,24.96,7.9107,48.286,28.579,7.1783,4.6525,21.993,3.1466,-1.5535,9.94,3.045,1.1651,-5.6003,16.745,5.07,2.225,-9.1891,10.452,-13.657,33.769,74.486,
18.646,17.56,25.09,7.8772,48.69,29.191,7.8168,4.676,22.458,3.3283,-1.3991,10.006,3.1216,1.2168,-5.5539,16.87,5.0548,2.3633,-9.3219,10.508,-13.841,33.772,74.591,
18.396,17.119,25.32,7.7669,49.09,29.792,8.5076,4.7297,22.973,3.5579,-1.2161,10.031,3.2186,1.2846,-5.4835,16.998,5.0497,2.4396,-9.3366,10.449,-13.928,33.754,74.648,
18.065,16.697,25.548,7.6448,49.492,30.442,9.1838,4.8001,23.487,3.8845,-0.9822,10.041,3.3449,1.3644,-5.3925,17.107,5.0908,2.4385,-9.2302,10.385,-14.028,33.699,74.7,
17.699,16.294,25.683,7.5392,49.893,31.206,9.7936,4.8458,23.945,4.3286,-0.6353,10.066,3.4775,1.4674,-5.2956,17.195,5.178,2.3914,-9.0606,10.431,-14.24,33.602,74.792,
17.356,15.894,25.751,7.4348,50.279,32.11,10.351,4.8578,24.327,4.8749,-0.14165,10.106,3.5869,1.6104,-5.2112,17.249,5.2713,2.3606,-8.9046,10.654,-14.613,33.462,74.911,
17.079,15.491,25.819,7.3019,50.636,33.122,10.919,4.8339,24.642,5.4895,0.46961,10.143,3.6655,1.7697,-5.1269,17.27,5.335,2.3866,-8.8107,11.056,-15.139,33.284,75.033,
16.874,15.081,25.942,7.128,50.949,34.14,11.627,4.7841,24.916,6.151,1.0936,10.175,3.738,1.8942,-5.0047,17.26,5.3755,2.4703,-8.7875,11.577,-15.768,33.087,75.127,
16.709,14.672,26.122,6.9379,51.207,35.053,12.599,4.7062,25.175,6.8504,1.6157,10.204,3.8476,1.94,-4.8244,17.227,5.4309,2.5801,-8.8013,12.106,-16.418,32.92,75.195,
16.549,14.271,26.315,6.8006,51.401,35.791,13.836,4.6078,25.42,7.6024,1.997,10.241,4.0051,1.9273,-4.6009,17.187,5.5238,2.6859,-8.7939,12.593,-17.033,32.813,75.239,
16.372,13.886,26.487,6.7704,51.527,36.385,15.155,4.4799,25.637,8.4154,2.3219,10.303,4.1948,1.9048,-4.3606,17.153,5.6535,2.7605,-8.7079,13.007,-17.551,32.747,75.272,
